protocol,fold,method,key,value
lolo,49,fisher_wknn,n_selected_keys,79
lolo,49,fisher_wknn,cv_best_score,1.5800259656121032
lolo,50,fisher_wknn,selected_M,all
lolo,50,fisher_wknn,selected_k,3
lolo,50,fisher_wknn,selected_weighting,inv_sq
lolo,50,fisher_wknn,n_selected_keys,80
lolo,50,fisher_wknn,cv_best_score,1.611772768605907
lolo,51,fisher_wknn,selected_M,48
lolo,51,fisher_wknn,selected_k,3
lolo,51,fisher_wknn,selected_weighting,inv_sq
lolo,51,fisher_wknn,n_selected_keys,48
lolo,51,fisher_wknn,cv_best_score,1.6470625361443563
lolo,52,fisher_wknn,selected_M,32
lolo,52,fisher_wknn,selected_k,3
lolo,52,fisher_wknn,selected_weighting,inv_sq
lolo,52,fisher_wknn,n_selected_keys,32
lolo,52,fisher_wknn,cv_best_score,1.621642608775294
lolo,53,fisher_wknn,selected_M,32
lolo,53,fisher_wknn,selected_k,3
lolo,53,fisher_wknn,selected_weighting,inv_sq
lolo,53,fisher_wknn,n_selected_keys,32
lolo,53,fisher_wknn,cv_best_score,1.6968293869877873
lolo,54,fisher_wknn,selected_M,all
lolo,54,fisher_wknn,selected_k,3
lolo,54,fisher_wknn,selected_weighting,inv_sq
lolo,54,fisher_wknn,n_selected_keys,80
lolo,54,fisher_wknn,cv_best_score,1.6893443104323673
lolo,55,fisher_wknn,selected_M,32
lolo,55,fisher_wknn,selected_k,3
lolo,55,fisher_wknn,selected_weighting,inv_sq
lolo,55,fisher_wknn,n_selected_keys,32
lolo,55,fisher_wknn,cv_best_score,1.6838605993598317
lolo,56,fisher_wknn,selected_M,32
lolo,56,fisher_wknn,selected_k,3
lolo,56,fisher_wknn,selected_weighting,inv_sq
lolo,56,fisher_wknn,n_selected_keys,32
lolo,56,fisher_wknn,cv_best_score,1.6398138292655655
lolo,57,fisher_wknn,selected_M,all
lolo,57,fisher_wknn,selected_k,3
lolo,57,fisher_wknn,selected_weighting,inv_sq
lolo,57,fisher_wknn,n_selected_keys,80
lolo,57,fisher_wknn,cv_best_score,1.7005725238995544
lolo,58,fisher_wknn,selected_M,32
lolo,58,fisher_wknn,selected_k,5
lolo,58,fisher_wknn,selected_weighting,inv_sq
lolo,58,fisher_wknn,n_selected_keys,32
lolo,58,fisher_wknn,cv_best_score,1.658297572598693
lolo,59,fisher_wknn,selected_M,32
lolo,59,fisher_wknn,selected_k,5
lolo,59,fisher_wknn,selected_weighting,inv_sq
lolo,59,fisher_wknn,n_selected_keys,32
